Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Turkey,2016,South Aegean Sea,30.549055,36.460237,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Kemer, Antalya",30.56,35.53,21, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,30.608133,36.601554,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,31.380095,36.769627,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,32.265133,36.261161,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Cyprus,2016,"Akrotiri bay, Limassol",32.994844,34.56656,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2016,"Zygi, Limassol",33.341349,34.725891,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2016,"Protaras, Famagusta",34.062597,35.01361,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Lebanon,2016,Beirut,35.485868,33.915193,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Kemer, Antalya",35.53,30.56,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Lebanon,2016,Batroun-6-1,35.634167,34.275133,50,"Rock, coralligenous, cave",1,fish visual census,Dimitriadis et al. 2020
Pterois miles,Lebanon,2016,Batroun-6-2,35.634167,34.275133,50,"Rock, coralligenous, cave",1,"scuba diving, fish visual census",Dimitriadis et al. 2020
Pterois miles,Lebanon,2016,Batroun-Medfoun,35.6365,34.265333,40,"wreck, rock, gravel",1,fish visual census,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,Arsuz coast,35.82972222,36.44277778,30,rocky/sandy bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017, ,28.2461,36.388,18,Rocky reef,12,visual only,Katsanevakis et al. 2020
Pterois miles,Israel,2017,Israel,35.053163,33.029308,0, ,11, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2017,South Aegean Sea,30.624508,36.574529,0, ,8,Spearfishing,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Rodos,28.129896,36.46807,13,Rocky,6,Spear-fishing,Dimitriadis et al. 2020
